etd_1
thesis_format,title,publication_date,degree_name,department,department2,embargo,embargo_date,embargo_reason,language,keywords,disciplines,distribution_license,author1_institution
,Exploring Intelligibility in Tracheoesophageal Speech: A Descriptive Analysis,2012-06-19 00:00,Master of Science,Health and Rehabilitation Sciences,,FALSE,,,English,"laryngeal cancer, tracheoesophageal speech, speech intelligibility, postlaryngectomy rehabilitation, quality of life",Speech Pathology and Audiology,,The University of Western Ontariio
,Colonization of Zea mays by the nitrogen fixing bacterium Gluconacetobacter diazotrophicus,2012-06-01 00:00,Master of Science,Biology,,FALSE,,,English,"colonization, corn, inoculation, genotype, Gluconacetobacter diazotrophicus",Agricultural Science; Agronomy and Crop Sciences; Bacteriology; Environmental Microbiology and Microbial Ecology,,The University of Western Ontario
,The Embryonic Protein Nodal Supports Metastatic Phenotypes in Breast Cancer,2012-06-29 00:00,Doctor of Philosophy,Anatomy and Cell Biology,,TRUE,2014-06-29 00:00,,English,"Nodal, breast cancer, angiogenesis, invasion, EMT, micrometastasis",Cancer Biology; Cell Biology,,The University of Western Ontario
,Do women engage in self-protection because of violence generally or sexual violence specifically? An analysis based on the 2009 General Social Survey,2012-06-04 00:00,Master of Arts,Sociology,,FALSE,,,English,"insecurity, physical victimization, self-protection, sexual victimization, weapon carrying, women","Criminology; Gender and Sexuality; Social Control, Law, Crime, and Deviance; Sociology",,The University of Western Ontario
,Top-Down Modulation of Category Specific Extrastriate Cortex in a Task-Switching Paradigm,2012-06-05 00:00,Master of Science,Neuroscience,,FALSE,,,English,"functional magnetic resonance imaging, top-down modulation, area V4, area V5, task switching",Cognitive Neuroscience,,The University of Western Ontario
,Methods for Shape-Constrained Kernel Density Estimation,2012-06-26 00:00,Doctor of Philosophy,Statistics and Actuarial Sciences,,FALSE,,,English,"kernel density estimation, nonparametric statistics, shape-constrained estimation, heuristic optimization, particle swarm optimization, unimodal density estimation",Statistical Methodology,,The University of Western Ontario
,Toward a Functional Characterization of Cognitive Control Networks,2012-06-05 00:00,Master of Science,Neuroscience,,FALSE,,,English,"Functional connectivity, functional network, executive control, cognitive control, independent component analysis, functional magnetic resonance imaging (fMRI), stable task-set maintenance, adaptive control, frontoparietal, cinguloinsular",Cognitive Neuroscience,,The University of Western Ontario
,Altered Auditory Feedback Causing Changes in the Vowel Production of Children with Specific Language Impairment,2012-06-04 00:00,Master of Science,Neuroscience,,FALSE,,,English,"Altered auditory feedback, Vowel formant manipulation, Frequency discrimination, Specific language impairment, Language learning, Child language development.",Neuroscience and Neurobiology,,The University of Western Ontario
,Associations Between Maternal Personality and Parenting: A Multi-Informant Approach,2012-06-07 00:00,Master of Science,Psychology,,FALSE,,,English,"personality, parenting, observational, multi-informant",Personality and Social Contexts,,The University of Western Ontario
,Baroque Worlds of the 21st Century,2012-06-29 00:00,Doctor of Philosophy,Hispanic Studies,,FALSE,,,English,"Neobaroque, baroque, new technologies, video games, memento mori, corporation",Spanish Literature,,The University of Western Ontario
,Upheaval Buckling of Buried Pipelines,2012-06-27 00:00,Doctor of Philosophy,Civil and Environmental Engineering,,TRUE,2014-06-27 00:00,,English,"upheaval buckling, offshore pipeline, clay, Glyben, Particle Image Velocimetry (PIV), layered soil",Geotechnical Engineering,,The University of Western Ontario
,Examining the Effects of Policies on the Delivery of Shelter Services to Women Who Have Experienced Intimate Partner Violence,2012-06-27 00:00,Doctor of Philosophy,Nursing,,TRUE,2014-07-11 00:00,,English,"Intimate Partner Violence, Violence Against Women, Abused Women’s Shelters, Health Policy, Giddens’ Theory of Structuration, Critical Discourse Analysis",Health Policy,,The University of Western Ontario
,Enacting Occupation and Identity: Perspectives of Children and Their Parents,2012-06-29 00:00,Doctor of Philosophy,Health and Rehabilitation Sciences,,FALSE,,,English,"Childhood, Identity, Disability, Participation, Occupational Science, Occupational Therapy",Occupational Therapy; Rehabilitation and Therapy; Social and Behavioral Sciences,,The University of Western Ontario
,Phase Field Crystal Approach to the Solidification of Ferromagnetic Materials,2012-06-28 00:00,Doctor of Philosophy,Applied Mathematics,,TRUE,2012-10-01 00:00,,English,"ferromagnetic materials, phase field crystal method, grain, hysteresis curve, coercivity",Condensed Matter Physics; Dynamic Systems; Other Materials Science and Engineering; Partial Differential Equations,,The University of Western Ontario
,A Life Course Investigation of the Differences in Psychological Distress of Mothers by Family Structure Trajectories,2012-06-11 00:00,Master of Arts,Sociology,,FALSE,,,English,"Sociology of mental health, medical sociology, life course research, social inequality, health inequality, quantitative analysis",Medicine and Health,,The University of Western Ontario
,Consistent Density Scanning and Information Extraction From Point Clouds of Building Interiors,2012-06-22 00:00,Doctor of Philosophy,Mechanical and Materials Engineering,,FALSE,,,English,3D scanning; shape acquisition of building interiors; feature extraction; point cloud segmentation; information extraction; virtual reality,Civil Engineering; Computer-Aided Engineering and Design; Construction Engineering and Management,,The University of Western Ontario
,Elucidating the Function of Transplanted Islets of Langerhans and Predicting Their Ability to Reverse Diabetes,2012-06-25 00:00,Doctor of Philosophy,Pathology,,TRUE,2014-01-01 00:00,,English,"Islets of Langerhans, Transplantation, Diabetes, Cellular Viability","Endocrinology, Diabetes, and Metabolism; Surgery",,The University of Western Ontario
,Personal Constructs of Saudi Arabian Graduate Students Studying at a Large Canadian University:  A Personal Construct Theory Approach,2012-06-22 00:00,Master of Science,Health and Rehabilitation Sciences,,FALSE,,,English,"Personal Construct Theory, personal constructs, repertory grid, self-characterization, Saudi Arabian international students.",International and Intercultural Communication,,The University of Western Ontario
,Will Work For Free: Examining the Biopolitics of Unwaged Immaterial Labour,2012-06-28 00:00,Doctor of Philosophy,Media Studies,,FALSE,,,English,"Web 2.0, Flickr, Immaterial Labour, Biopolitics, Autonomist Marxism",Film and Media Studies; Photography,,The University of Western Ontario
,Adherence to Canadian Best Practice Recommendations for Stroke Care:  The Case of Post-Stroke Depression,2012-06-13 00:00,Master of Science,Health and Rehabilitation Sciences,,FALSE,,,English,"Stroke, depression, best practice, guidelines, knowledge translation",Translational Medical Research,,The University of Western Ontario
,Essays on Informal Labor Markets,2012-07-03 00:00,Doctor of Philosophy,Economics,,FALSE,,,English,"Labor Economics, Informal Sector, Duration Analysis",Labor Economics,,The University of Western Ontario
,"Teatralidad, globalidad y tecnología en el siglo XXI",2012-06-29 00:00,Doctor of Philosophy,Hispanic Studies,,FALSE,,,English,"Teatralidad, Cirque du Soleil, Robert Lepage, La Fura dels Baus, tecnología, neobarroco",Arts and Humanities; Other Theatre and Performance Studies; Spanish and Portuguese Language and Literature,,The University of Western Ontario
,Characterization of EIF2Be and Its Interaction with RGS2,2012-06-19 00:00,Master of Science,Pharmacology and Toxicology,,FALSE,,,English,"Regulator of G protein signaling (RGS) proteins, RGS2, G protein coupled receptors (GPCR), eukaryotic initiation factor 2B (eIF2B), protein synthesis",Pharmacology,,The University of Western Ontario
,Uncovering Dual Roles for PERK Signaling During Experimentally Induced Pancreatitis,2012-06-29 00:00,Doctor of Philosophy,Physiology,,FALSE,,,English,"Pancreatitis, unfolded protein response, PERK pathway, STC2, ATF3",Cell Biology; Cellular and Molecular Physiology; Developmental Biology; Genetics,,The University of Western Ontario
,X-ray Absorption Fine Structure and X-ray Excited Optical Luminescence Studies of One-dimensional Nanomaterials,2012-07-09 00:00,Doctor of Philosophy,Chemistry,,FALSE,,,English,"X-ray absorption near-edge structure, X-ray excited optical luminescence, silicon nanowires, silicon carbide nanowires, boron nitride nanotubes, electroless chemical etching",Physical Chemistry,,The University of Western Ontario
,The Role of MicroRNAs in Cyclooxygenase-2 Mediated Breast Cancer Progression,2012-06-18 00:00,Master of Science,Anatomy and Cell Biology,,TRUE,2015-05-18 00:00,,English,"Breast Cancer, MicroRNA, Cyclooxygenase (COX)-2, Cancer Stem Cell (CSC), Tumor Initiating Cell (TIC)",,,The University of Western Ontario
,Investigation of in-vivo hindfoot and orthotic interactions using bi-planar x-ray fluoroscopy,2012-06-18 00:00,Master of Engineering Science,Mechanical and Materials Engineering,,FALSE,,,English,"fluoroscopy, hindfoot, kinematics, pronation, computed tomography",Biomechanical Engineering; Biomedical Engineering and Bioengineering,,The University of Western Ontario
,Preoperative Angiotensin Converting Enzyme Inhibitor or Angiotensin Receptor Blocker Use and Acute Dialysis: A Population Based Cohort Study,2012-06-21 00:00,Master of Science,Epidemiology and Biostatistics,,FALSE,,,English,"Angiotensin converting enzyme inhibitor, angiotensin receptor blocker, acute kidney injury, retrospective cohort study, elective surgery, acute dialysis",Nephrology,,The University of Western Ontario
,"Cultivating Respect for Difference:  Exploring the Enactment of Community at HOPE Garden in Parkdale, Toronto",2012-06-20 00:00,Master of Arts,Anthropology,,FALSE,,,English,"community gardening, urban agriculture, urban anthropology, community belonging, diversity, Toronto",Social and Cultural Anthropology,,The University of Western Ontario
,"Ginseng Extract Treatment Influences on Preimplantation Development in Vitro, and Pregnancy and Post-Partum Development in the Mouse",2012-06-14 00:00,Master of Science,Physiology,,TRUE,2013-01-30 00:00,,English,"Mouse, Preimplantation Development, North American Ginseng, Ginsenosides, Pregnancy, Women",Alternative and Complementary Medicine,,The University of Western Ontario
,A Real Options Valuation of Renewable Energy Projects,2012-07-20 00:00,Doctor of Philosophy,Applied Mathematics,,FALSE,,,English,"Renewable Energy, Corn Ethanol, Wind Power, Energy Storage, Real Options, Optimal Control, Dynamic Programming, Bootstrapping, PDE",Other Applied Mathematics,,The University of Western Ontario
,Sentence Recall in Monolingual and ELL with and without Parental Concerns about Language Development,2012-06-27 00:00,Master of Science,Health and Rehabilitation Sciences,,FALSE,,,English,"Language development, Specific Language Impairment, English Language Learners, sentence recall, second language acquisition, and clinical markers","Bilingual, Multilingual, and Multicultural Education",,The University of Western Ontario
,Electroencephalographic correlates of spatial attention index the degree of online control in goal-directed reaching,,Master of Science,Kinesiology,,FALSE,,,English,"Action, Electroencephalography, Event-related Potential, Reaching, Pointing, Spatial Attention",Motor Control,,The University of Western Ontario
,"Preliminary Economic Evaluation of Brentuximab Vedotin in Relapsed and Refractory Hodgkin Lymphoma: An ""Early Look"" Model Based on Phase II Results",2012-06-29 00:00,Master of Science,Epidemiology and Biostatistics,,TRUE,2014-07-21 00:00,,English,"Cost effectiveness, Hodgkin Lymphoma, brentuximab, phase II trial, targeted therapy, Canada",Health Economics; Health Services Research,,The University of Western Ontario
,The Change Program:  Comparing an Interactive Versus Prescriptive Telephone-Based Behavioural Intervention on the Psychological and Physiological Profiles of University Students with Obesity,2012-07-16 00:00,Doctor of Philosophy,Health and Rehabilitation Sciences,,FALSE,,,English,"Co-Active life coaching, motivational interviewing, obesity, lifestyle intervention, goal setting, student",Behavioral Disciplines and Activities; Behavior and Behavior Mechanisms; Medicine and Health Sciences; Psychological Phenomena and Processes,,The University of Western Ontario
,Loudness Perception and Speech Intensity Control in Parkinson's Disease,2012-06-25 00:00,Master of Science,Health and Rehabilitation Sciences,,FALSE,,,English,"Parkinson’s disease, loudness perception, speech intensity, acoustic reflex, audiometric evaluation",Speech and Hearing Science,,The University of Western Ontario
,Experimental Evaluation of the Projection-based Force Reflection Algorithms for Haptic Interaction with Virtual Environment,2012-06-21 00:00,Master of Engineering Science,Electrical and Computer Engineering,,FALSE,,,English,"Haptic Systems, Projection-based Force Reflection Algorithm",Controls and Control Theory,,The University of Western Ontario
,Attachment and Information Seeking Strategy Preference in Romantic Relationships,2012-06-25 00:00,Master of Science,Psychology,,FALSE,,,English,"attachment, information seeking, romantic relationships, communication",Social Psychology,,The University of Western Ontario
,The role of GRK2 in hypertension and regulation of GPR30,,Master of Science,Pharmacology and Toxicology,,FALSE,,,English,"GRK2, hypertension, GPR30, vascular, G protein signaling",Pharmacology,,
,Watching High School: Representing Disempowerment on Teen Drama Television,2012-07-05 00:00,Master of Arts,Media Studies,,FALSE,,,English,"Discourse, Disempowerment, Representation, Teen Drama, Television, Youth",,,The University of Western Ontario
,The Symptom of Fatigue in Primary Care: A Comparative Study of Health Care Utilization Patterns Using Electronic Medical Records,2012-06-29 00:00,Master of Science,Epidemiology and Biostatistics,,FALSE,,,English,"Fatigue, Primary Care, Prevalence, Health Care Utilization",Epidemiology; Health Services Research,,The University of Western Ontario
,Statin Transport by Hepatic Organic Anion-Transporting Polypeptides (OATPs),2012-08-09 00:00,Doctor of Philosophy,Pharmacology and Toxicology,,TRUE,2014-08-09 00:00,,English,"Organic anion-transporting polypeptides, pharmacogenetics, drug transporters, transporter knockout mice, statin transport, statin pharmacokinetics",Pharmacology,,The University of Western Ontario
,A Crosslinguistic/Cultural Perspective of Learning Chinese as a Foreign Language in Canadian Universities,2012-06-19 00:00,Doctor of Philosophy,Education,,TRUE,2014-07-01 00:00,,English,Chinese as a foreign language,Curriculum and Instruction,,The University of Western Ontario
,Investigations of the Biological Consequences and Cultural Motivations of Artificial Cranial Modification Among Northern Chilean Populations,2012-07-20 00:00,Doctor of Philosophy,Anthropology,,FALSE,,,English,"Artificial cranial modification, Azapa Valley, Lluta Valley, Camarones Valley, cephalometry, epigenetic traits, status, ethnicity, Chile",Archaeological Anthropology; Biological and Physical Anthropology,,The University of Western Ontario
,"To Leave or To Stay?  The Decision Context, Self-Images, and Owner-Managers' Persistence Decisions",2012-07-23 00:00,Doctor of Philosophy,Business,,FALSE,,,English,"Persistence, underperforming venture, venture attachment, role pressure, fear of failure, psychological capital",Entrepreneurial and Small Business Operations,,The University of Western Ontario
,"Symbolizing Number: fMRI investigations of the semantic, auditory, and visual correlates of Hindu-Arabic numerals",2012-07-19 00:00,Doctor of Philosophy,Psychology,,FALSE,,,English,"Hindu-Arabic numerals, fMRI, numerical magnitude representation, audiovisual integration, intraparietal sulcus, fusiform gyrus, superior temporal gyrus",Cognitive Neuroscience,,The University of Western Ontario
,The Role of Nodal in the Regulation of Bi-Potential Trophoblast Progenitor Cells,2012-06-28 00:00,Master of Science,Anatomy and Cell Biology,,FALSE,,,English,"Placenta, Trophoblast, HTR-8/SVneo, BeWo, Nodal, hCG, Endothelial-like Tube Formation",Developmental Biology,,The University of Western Ontario
,The effect of multitalker background noise on speech intelligibility in Parkinson's disease and controls,2012-06-29 00:00,Master of Science,Health and Rehabilitation Sciences,,FALSE,,,English,"Speech intelligibility, hypophonia, phonetic errors, Parkinson's disease, background noise",Communication Sciences and Disorders; Other Rehabilitation and Therapy; Speech and Hearing Science; Speech Pathology and Audiology,,The University of Western Ontario
,Exercise and pregnancy:  Developing effective intervention strategies and improving psychological well-being,2012-07-18 00:00,Doctor of Philosophy,Kinesiology,,TRUE,2013-11-15 00:00,,English,"exercise, pregnancy, Protection Motivation Theory, action planning, coping planning, psychological well-being",Health Psychology; Other Social and Behavioral Sciences; Social and Behavioral Sciences,,The University of Western Ontario
,Do women engage in self-protection because of violence generally or sexual violence specifically? An analysis based on the 2009 General Social Survey,,Master of Arts,Sociology,,FALSE,,,English,insecurity; physical victimization; self-protection; sexual victimization; victimization; weapon carrying; women,"Criminology; Gender and Sexuality; Social and Behavioral Sciences; Social Control, Law, Crime, and Deviance; Sociology",,Western University
,Placental insufficiency resulting in fetal growth restriction alters synaptic development and neuronal myelination in guinea pigs at term,2012-06-28 00:00,Master of Science,Physiology,,FALSE,,,English,"Fetal growth restriction, brain development, guinea pig, synaptogenesis, myelination, synaptophysin, synaptopodin, myelin basic protein, luxol fast blue, hippocampus",Developmental Biology; Other Neuroscience and Neurobiology,,The University of Western Ontario
,Moving Beyond the “Mosqueteria:” A Critical Analysis of the Media’s Coverage of Religious Accommodation at an Ontario Public School,2012-07-25 00:00,Master of Education,Education,,FALSE,,,English,"Islam, Orientalism, education, religious accommodation, media studies","Education; Film and Media Studies; Race, Ethnicity and Post-Colonial Studies",,The University of Western Ontario
,Outside Influences: Great War Experiences along the Canada-U.S. Border,2012-07-26 00:00,Doctor of Philosophy,History,,FALSE,,,English,"Boundary, Border, Great War, Canada, Immigration, Customs",Social History,,The University of Western Ontario
,Individual Differences in White Matter Microstructure Predict Mathematical Achievement,2012-07-03 00:00,Master of Science,Psychology,,FALSE,,,English,"Diffusion Tensor Imaging, White Matter, Fractional Anisotropy, Radial Diffusivity, Tract Based Spatial Statistics, Mathematical Cognition",Behavior and Behavior Mechanisms,,The University of Western Ontario
,Numerical Modelling of Transport in Complex Porous Media: Metal Foams to the Human Lung,2012-07-16 00:00,Doctor of Philosophy,Mechanical and Materials Engineering,,FALSE,,,English,"porous media, finite volume methods, unstructured grids, thermal dispersion, metal foams, human lung",Applied Mechanics,,The University of Western Ontario
,Effect of Head Movement on Sound Localization in Real and Simulated Cochlear Implant Users,2012-07-09 00:00,Master of Science,Health and Rehabilitation Sciences,,TRUE,2013-07-09 00:00,,English,"sound localization, head movement, real cochlear implantees, simulated cochlear implantees, binaural hearing, monaural hearing",Speech and Hearing Science,,The University of Western Ontario
,Narrative Brought to Life: The Wizarding World of Harry Potter,,Master of Arts,Art History,,FALSE,,,English,"Harry Potter, The Wizarding World of Harry Potter, Theme Parks, Theming, Immersion, Immersive Spaces",American Art and Architecture; Contemporary Art; Interactive Arts; Interdisciplinary Arts and Media; Sales and Merchandising; Visual Studies,,Western University
,The Effects of Lubrication on Pharmaceutical Granules,2012-07-06 00:00,Master of Engineering Science,Biomedical Engineering,,FALSE,,,English,"high shear granulation, fluidized bed granulation, lubricant, magnesium stearate, granule characteristics, pharmaceutical manufacturing",Other Biomedical Engineering and Bioengineering,,The University of Western Ontario
,Augmented Image-Guidance for Transcatheter Aortic Valve Implantation,2012-07-30 00:00,Doctor of Philosophy,Biomedical Engineering,,FALSE,,,English,"image-guided procedures, cardiac surgery, minimally invasive, medical imaging, image registration, transcatheter aortic valve implantation",Bioimaging and Biomedical Optics; Biomedical Engineering and Bioengineering; Cardiology; Cardiovascular Diseases; Surgery,,The University of Western Ontario
,The role of amino-terminal in determining transjunctional voltage-dependent gating and unitary conductance of Cx36 and Cx50 gap junction channels,2012-07-25 00:00,Doctor of Philosophy,Neuroscience,,TRUE,2012-12-12 00:00,,English,"gap junction, Cx36, Cx50, patch-clamp, voltage gating, unitary conductance",Medical Biophysics; Neurosciences,,The University of Western Ontario
,Evaluating the Montreal Cognitive Assessment (MoCA) and the Mini Mental State Exam (MMSE) for Cognitive Impairment Post Stroke: A Validation Study against the Cognistat,2012-07-12 00:00,Master of Science,Epidemiology and Biostatistics,,FALSE,,,English,"MoCA, MMSE, Cognistat, cognitive impairment, post-stroke, validity","Analytical, Diagnostic and Therapeutic Techniques and Equipment; Clinical Epidemiology; Epidemiology",,The University of Western Ontario
,Black Students' Perspectives on Academic Success,2012-07-25 00:00,Master of Education,Education,,FALSE,,,English,"black students, African Canadian, motivation, high school, achievement, identity",Disability and Equity in Education; Educational Psychology,,The University of Western Ontario
,Population-Based Placental Weight Ratio Distributions and Determinants of Placental Weight Ratios,2012-07-13 00:00,Master of Science,Epidemiology and Biostatistics,,FALSE,,,English,"Pregnancy, Placental Weight, Birth Weight, Placental Weight Ratio, Quantile Regression, Fetal Growth",Maternal and Child Health,,The University of Western Ontario
,Experiences of Socio-Spatial Exclusion Among Ghanaian Immigrant Youth in Toronto:  A Case Study of the Jane-Finch Neighbourhood,2012-06-28 00:00,Master of Arts,Geography,,FALSE,,,English,"Youth, Socio-spatial exclusion, Ghanaians, Immigrants, Toronto",Human Geography,,The University of Western Ontario
,Changes in the Mitochondrial Phosphoproteome during Mammalian Hibernation,2012-07-17 00:00,Master of Science,Biology,,FALSE,,,English,"Hibernation, Phosphorylation, Mitochondria, Torpor, Post-translational modification",Animal Sciences,,The University of Western Ontario
,Thermal and Electrical Behaviors of Selected Geomaterials,2012-08-16 00:00,Doctor of Philosophy,Civil and Environmental Engineering,,FALSE,,,English,"Thermal conductivity, electrical conductivity, mine tailings, tire crumbs, coal fly ash, compaction, packing, fabric, statistics, regression model, recycling",Geotechnical Engineering,,The University of Western Ontario
,Speech Compensation to Formant Perturbations in English and Vietnamese Talkers,2012-07-12 00:00,Master of Science,Health and Rehabilitation Sciences,,TRUE,2013-09-01 00:00,,English,"auditory feedback, language acquisition, speech production, speech perception, vowel formants, Vietnamese, Canadian-English",Speech and Hearing Science,,The University of Western Ontario
,Further applications of higher-order Markov chains and developments in regime-switching models,2012-07-31 00:00,Doctor of Philosophy,Applied Mathematics,,TRUE,2013-03-30 00:00,,English,"filtering, change of reference probability method, price modeling, asset allocation, term structure of interest rates, inverse problem in finance",Other Applied Mathematics,,The University of Western Ontario
,Simultaneous Confidence Intervals for Risk Ratios in the Many-to-One Comparisons of Proportions,2012-07-18 00:00,Master of Science,Epidemiology and Biostatistics,,FALSE,,,English,"Bonferroni, Dunnett's adjustment, Jeffreys, multiple comparisons, relative risk, Wilson",Biostatistics,,The University of Western Ontario
,Bayesian Analyses of Metal-Loss Corrosion on Energy Pipeline Based on Inspection Data,,Master of Engineering Science,Civil and Environmental Engineering,,FALSE,,,English,"Metal-loss corrosion, pipeline, ILI, growth model, measurement error, Bayesian updating, reliability",Civil and Environmental Engineering,,
,"Women's Engagements with Christianity in Oksapmin, Papua New Guinea",2012-07-05 00:00,Master of Arts,Anthropology,,FALSE,,,English,"women, gender, Christianity, Papua New Guinea",,,The University of Western Ontario
,Enhancing reliability in passive anti-islanding protection schemes for distribution systems with distributed generation,2012-09-12 00:00,Master of Engineering Science,Electrical and Computer Engineering,,FALSE,,,English,"Reliability, dependability, security, artificial neural networks, distributed generation, passive anti-islanding protection, radial distribution system, doubly-fed induction generators",Computational Engineering; Power and Energy,,The University of Western Ontario
,"Architecture and stratigraphy of the Lower Silurian Guelph Formation, Lockport Group, southern Ontario and Michigan",2012-07-11 00:00,Master of Science,Geology,,FALSE,,,English,"Lockport Group, Guelph Formation, Lower Silurian, Michigan Basin, karst towers, carbonates",Geology,,The University of Western Ontario
,Planetary Materials Science and Astrobiology,2012-08-08 00:00,Doctor of Philosophy,Planetary Science,,FALSE,,,English,"basaltic glass, ichnofossils, impact processes, enstatite chondrites, primitive achrondrites, Post-impact hydrothermal processes",Geology,,The University of Western Ontario
,"""Men to the Rescue"" - The Influence of Male English Teachers on Boys' Literacy Achievement",2012-08-08 00:00,Doctor of Philosophy,Education,,FALSE,,,English,"male teachers, boys’ literacy underachievement, secondary-school English, masculinities",Other Education,,The University of Western Ontario
,Measuring and Understanding Distal and Proximal Determinants of Mentoring Relationship Quality in Big Brothers Big Sisters Community-based Programs,2012-08-08 00:00,Doctor of Philosophy,Epidemiology and Biostatistics,,FALSE,,,English,"mentoring relationship quality, mentor self-efficacy, parent support of mentoring relationship, mentor training satisfaction, measurement evaluation, mediation",Mental and Social Health,,The University of Western Ontario
,The Lived Experience of Anxiety Among Adolescents During High School,2012-07-18 00:00,Master of Science,Nursing,,FALSE,,,English,"lived experience of anxiety, adolescent anxiety, high school, interpretative phenomenology",Nursing; Psychiatric and Mental Health Nursing,,The University of Western Ontario
,"Strucutural, Chemical and Bacteriological Characterization of the Rhizosphere of Zea Mays Grown in Metal-Contaminated Soil",2012-07-13 00:00,Master of Science,Biology,,FALSE,,,English,"Metal solubility, Metal bioavailability, Rhizosphere, Plant root, Bacterial community, Corn, Zea mays, Toxicity, Scanning electron microscopy (SEM), Synchrotron radiation analyses (SRA)",,,The University of Western Ontario
,The Construction of Edmond Halley's 1701 Map of Magnetic Declination,2012-07-25 00:00,Master of Science,Statistics and Actuarial Sciences,,FALSE,,,English,"Halley, chart, Atlantic, map, magnetic declination, variation",Other Statistics and Probability,,The University of Western Ontario
,On sensorimotor function and the relationship between proprioception and motor learning,2012-08-14 00:00,Doctor of Philosophy,Neuroscience,,FALSE,,,English,"motor learning, proprioception, arm movements, psychophysics, force-field, robotic manipulandum, human",Systems Neuroscience,,The University of Western Ontario
,A Homotopy Theory for Diffeological Spaces,2012-08-02 00:00,Doctor of Philosophy,Mathematics,,FALSE,,,English,"Diffeological spaces, smooth homotopy groups, model category theory, simplicial sets",Geometry and Topology,,The University of Western Ontario
,The Role of Transforming Growth Factor Alpha in Osteoarthritis and Skeletal Development,2012-07-30 00:00,Doctor of Philosophy,Physiology,,TRUE,2014-06-20 00:00,,English,"transforming growth factor alpha, osteoarthritis, MMP13, Rankl, osteoclasts, bone development",Cellular and Molecular Physiology,,The University of Western Ontario
,"Intimate Partner Violence (IPV) and the Social Determinants of Aboriginal Peoples’ Health: A Case Study of First Nations Women’s Resilience, Resistance, and Renewal",2012-07-23 00:00,Doctor of Philosophy,Sociology,,FALSE,,,English,Intimate Partner Violence; First Nations; Social Determinants of Aboriginal Peoples’ Health; Decolonizing Methodologies; Community Based Research; Participatory Action Research; Photovoice Methodology; Resilience,Community-Based Research; Community Health; Inequality and Stratification; Other Mental and Social Health; Substance Abuse and Addiction,,The University of Western Ontario
,The Question of Legacy and the 2008 Olympic Games: An Exploration of Post-Games Utilization of Olympic Sport Venues in Beijing,2012-08-15 00:00,Doctor of Philosophy,Kinesiology,,FALSE,,,English,"2008 Beijing Olympic Games, Olympic Legacy, Post-Olympic Utilization, Sport Venues, Olympic Host Cities",Chinese Studies; Urban Studies and Planning,,The University of Western Ontario
,The Differential Expression of EGFL7 Transcripts during Angiogenesis in Human Fibrosarcoma,2012-07-16 00:00,Master of Science,Medical Biophysics,,TRUE,2014-08-31 00:00,,English,"EGFL7, Transcripts, Angiogenesis, Differential Regulation, Tumor",Genetic Processes; Medical Biochemistry,,The University of Western Ontario
,A New Web Search Engine with Learning Hierarchy,2012-08-22 00:00,Doctor of Philosophy,Computer Science,,FALSE,,,English,"search engine, machine learning, faceted hierarchies, classiﬁcation, information retrieval, active learning",Artificial Intelligence and Robotics,,The University of Western Ontario
,Reactive and Regulatory Temperament Traits as Predictors of Depressive Symptoms in Middle Childhood,2012-07-16 00:00,Master of Science,Psychology,,FALSE,,,English,"temperament; effortful control; tripartite model; depressive disorders; middle childhood; structural equation modelling, latent growth curves",Child Psychology; Clinical Psychology; Developmental Psychology; Personality and Social Contexts,,The University of Western Ontario
,Hypoxia-Induced Alterations in Skeletal Muscle Cell Respiration and Resveratrol as a Potential Pharmacological Intervention,2012-07-18 00:00,Master of Science,Biology,,FALSE,,,English,"intrauterine growth restriction, hypoxia, oxidative phosphorylation, mitochondrial biogenesis, skeletal muscle, resveratrol",Physiology,,The University of Western Ontario
,The Problem of the Penumbra:  Elementary School Principals' Exercise of Discretion in Student Disciplinary Issues,2012-08-13 00:00,Doctor of Philosophy,Education,,FALSE,,,English,"Administrative Discretion, School Administration, Elementary Principals, Student Discipline, Christopher Hodgkinson, H.L.A. Hart, Decision-Making, Values, School Law",Educational Administration and Supervision,,The University of Western Ontario
,"The Wounded Bricoleur: Adversity, Artifice and the Becoming of Street-Involved Youth in London, Ontario, Canada",2012-08-20 00:00,Doctor of Philosophy,Anthropology,,FALSE,,,English,Street-involved youth; Existential Anthropology; Anthropology of Illness and Health; Subjectivity; Critical Theory; Neoliberalism,Anthropology; Social and Behavioral Sciences; Social and Cultural Anthropology,,The University of Western Ontario
,"Essays on Capital Gains, Household Consumption and Corporate Payout Policy",2012-07-24 00:00,Doctor of Philosophy,Economics,,FALSE,,,English,"accrued capital gains, household consumption, corporate payout",Finance,,The University of Western Ontario
,Why Wait? The Effects of Waiting Time on Subsequent Help-Seeking Among Families Looking for Children’s Mental Health Services,2012-07-12 00:00,Master of Science,Psychology,,FALSE,,,English,"Wait-list, help-seeking, mental health, child, service utilization, survival analysis",Clinical Psychology,,The University of Western Ontario
,"The effect of concurrent cognitive, linguistic and motor tasks on speech intensity in Parkinson’s disease",2012-07-19 00:00,Master of Science,Health and Rehabilitation Sciences,,FALSE,,,English,"Parkinson’s disease, concurrent task performance, speech intensity, cognition, verb generation, mathematical addition, visuomotor tracking",Speech and Hearing Science,,The University of Western Ontario
